17:02:15.468 [main] WARN  o.s.modules.utils.Reflections - AccountService$$EnhancerByCGLIB$$9b8242cc's superclass not ParameterizedType
17:02:17.109 [main] WARN  o.s.modules.utils.Reflections - MenuService$$EnhancerByCGLIB$$8e0caa6c's superclass not ParameterizedType
17:05:27.562 [main] WARN  o.s.modules.utils.Reflections - AccountService$$EnhancerByCGLIB$$573f879's superclass not ParameterizedType
17:05:29.203 [main] WARN  o.s.modules.utils.Reflections - MenuService$$EnhancerByCGLIB$$f7fe6019's superclass not ParameterizedType
17:06:59.765 [main] WARN  o.s.modules.utils.Reflections - AccountService$$EnhancerByCGLIB$$8c9b12cc's superclass not ParameterizedType
17:07:01.343 [main] WARN  o.s.modules.utils.Reflections - MenuService$$EnhancerByCGLIB$$7f257a6c's superclass not ParameterizedType
17:11:00.484 [main] INFO  o.s.web.context.ContextLoader - Root WebApplicationContext: initialization started
17:11:00.671 [main] INFO  o.s.w.c.s.XmlWebApplicationContext - Refreshing Root WebApplicationContext: startup date [Thu Apr 24 17:11:00 CST 2014]; root of context hierarchy
17:11:00.781 [main] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from URL [file:/D:/project/jgzf/trunk/code/jgzf/webapp/WEB-INF/classes/applicationContext.xml]
17:11:02.453 [main] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from URL [file:/D:/project/jgzf/trunk/code/jgzf/webapp/WEB-INF/classes/applicationContext-shiro.xml]
17:11:02.796 [main] INFO  o.s.c.s.PropertySourcesPlaceholderConfigurer - Loading properties file from URL [file:/D:/project/jgzf/trunk/code/jgzf/webapp/WEB-INF/classes/application.properties]
17:11:03.015 [main] INFO  o.s.w.c.s.XmlWebApplicationContext - Bean 'dataSource' of type [class org.apache.tomcat.jdbc.pool.DataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
17:11:03.750 [main] INFO  o.s.w.c.s.XmlWebApplicationContext - Bean 'org.springside.modules.persistence.Hibernates#c88d40' of type [class java.lang.String] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
17:11:03.750 [main] INFO  o.s.w.c.s.XmlWebApplicationContext - Bean 'hibernateJpaVendorAdapter' of type [class org.springframework.orm.jpa.vendor.HibernateJpaVendorAdapter] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
17:11:03.843 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Building JPA container EntityManagerFactory for persistence unit 'default'
17:11:08.234 [main] INFO  o.s.w.c.s.XmlWebApplicationContext - Bean 'entityManagerFactory' of type [class org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
17:11:08.375 [main] INFO  o.s.w.c.s.XmlWebApplicationContext - Bean 'org.springframework.transaction.annotation.AnnotationTransactionAttributeSource#0' of type [class org.springframework.transaction.annotation.AnnotationTransactionAttributeSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
17:11:08.390 [main] INFO  o.s.w.c.s.XmlWebApplicationContext - Bean 'org.springframework.transaction.config.internalTransactionAdvisor' of type [class org.springframework.transaction.interceptor.BeanFactoryTransactionAttributeSourceAdvisor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
17:11:08.593 [main] INFO  o.s.w.c.s.XmlWebApplicationContext - Bean '(inner bean)' of type [class org.springframework.beans.factory.config.PropertiesFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
17:11:08.593 [main] INFO  o.s.w.c.s.XmlWebApplicationContext - Bean '(inner bean)' of type [class java.util.Properties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
17:11:08.609 [main] INFO  o.s.w.c.s.XmlWebApplicationContext - Bean '(inner bean)' of type [class org.springframework.data.repository.core.support.PropertiesBasedNamedQueries] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
17:11:08.609 [main] INFO  o.s.w.c.s.XmlWebApplicationContext - Bean 'entityManagerFactory' of type [class com.sun.proxy.$Proxy43] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
17:11:08.656 [main] INFO  o.s.w.c.s.XmlWebApplicationContext - Bean '(inner bean)#1' of type [class com.sun.proxy.$Proxy47] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
17:11:08.875 [main] INFO  o.s.w.c.s.XmlWebApplicationContext - Bean 'userDao' of type [class org.springframework.data.jpa.repository.support.JpaRepositoryFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
17:11:09.500 [main] INFO  o.s.w.c.s.XmlWebApplicationContext - Bean 'userDao' of type [class com.sun.proxy.$Proxy51] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
17:11:09.656 [main] INFO  o.s.w.c.s.XmlWebApplicationContext - Bean 'accountService' of type [class com.epublic.sys.service.AccountService] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
17:11:09.875 [main] INFO  o.s.w.c.s.XmlWebApplicationContext - Bean 'org.springframework.transaction.interceptor.TransactionInterceptor#0' of type [class org.springframework.transaction.interceptor.TransactionInterceptor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
17:11:09.937 [main] WARN  o.s.modules.utils.Reflections - AccountService$$EnhancerByCGLIB$$417bf0cc's superclass not ParameterizedType
17:11:09.937 [main] INFO  o.a.shiro.realm.AuthorizingRealm - No cache or cacheManager properties have been set.  Authorization cache cannot be obtained.
17:11:09.937 [main] INFO  o.s.w.c.s.XmlWebApplicationContext - Bean 'shiroDbRealm' of type [class com.epublic.sys.service.ShiroDbRealm] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
17:11:10.109 [main] INFO  o.s.w.c.s.XmlWebApplicationContext - Bean 'shiroEhcacheManager' of type [class org.apache.shiro.cache.ehcache.EhCacheManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
17:11:10.109 [main] INFO  o.a.s.cache.ehcache.EhCacheManager - Cache with name 'com.epublic.sys.service.ShiroDbRealm.authorizationCache' does not yet exist.  Creating now.
17:11:10.187 [main] INFO  o.a.s.cache.ehcache.EhCacheManager - Added EhCache named [com.epublic.sys.service.ShiroDbRealm.authorizationCache]
17:11:10.187 [main] INFO  o.s.w.c.s.XmlWebApplicationContext - Bean 'securityManager' of type [class org.apache.shiro.web.mgt.DefaultWebSecurityManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
17:11:10.218 [main] INFO  o.s.b.f.s.DefaultListableBeanFactory - Pre-instantiating singletons in org.springframework.beans.factory.support.DefaultListableBeanFactory@1b84bea: defining beans [documentService,policeService,unitService,frmCodeService,wfddService,wfnrService,widgetsDao,accountService,menuService,widgetsService,wftcgzdService,org.springframework.context.annotation.internalConfigurationAnnotationProcessor,org.springframework.context.annotation.internalAutowiredAnnotationProcessor,org.springframework.context.annotation.internalRequiredAnnotationProcessor,org.springframework.context.annotation.internalCommonAnnotationProcessor,org.springframework.context.annotation.internalPersistenceAnnotationProcessor,entityManagerFactory,hibernateJpaVendorAdapter,wftcgzdDao,documentDao,constDao,roleDao,policeDao,wfnrDao,frmCodeDao,userDao,unitDao,wfddDao,menuDao,org.springframework.data.repository.core.support.RepositoryInterfaceAwareBeanPostProcessor#0,org.springframework.dao.annotation.PersistenceExceptionTranslationPostProcessor#0,transactionManager,org.springframework.aop.config.internalAutoProxyCreator,org.springframework.transaction.annotation.AnnotationTransactionAttributeSource#0,org.springframework.transaction.interceptor.TransactionInterceptor#0,org.springframework.transaction.config.internalTransactionAdvisor,validator,defaultCacheManager,sessionCache,messageCache,org.springframework.context.support.PropertySourcesPlaceholderConfigurer#0,dataSource,namedParameterJdbcTemplate,securityManager,shiroDbRealm,captchaFormAuthenticationFilter,shiroFilter,shiroEhcacheManager,lifecycleBeanPostProcessor,org.springframework.context.annotation.ConfigurationClassPostProcessor.importAwareProcessor]; root of factory hierarchy
17:11:10.421 [main] INFO  o.s.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 9921 ms
17:11:10.734 [main] INFO  o.s.web.servlet.DispatcherServlet - FrameworkServlet 'springServlet': initialization started
17:11:10.734 [main] INFO  o.s.w.c.s.XmlWebApplicationContext - Refreshing WebApplicationContext for namespace 'springServlet-servlet': startup date [Thu Apr 24 17:11:10 CST 2014]; parent: Root WebApplicationContext
17:11:10.750 [main] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from ServletContext resource [/WEB-INF/spring-mvc.xml]
17:11:11.171 [main] INFO  o.s.b.f.s.DefaultListableBeanFactory - Pre-instantiating singletons in org.springframework.beans.factory.support.DefaultListableBeanFactory@201ac: defining beans [frmCodeController,wfddController,wfnrController,documentController,policeController,unitController,genController,indexController,loginController,logoutController,menuController,urlController,userController,widgetsController,wftcgzdController,org.springframework.context.annotation.internalConfigurationAnnotationProcessor,org.springframework.context.annotation.internalAutowiredAnnotationProcessor,org.springframework.context.annotation.internalRequiredAnnotationProcessor,org.springframework.context.annotation.internalCommonAnnotationProcessor,org.springframework.context.annotation.internalPersistenceAnnotationProcessor,mvcContentNegotiationManager,org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping#0,org.springframework.format.support.FormattingConversionServiceFactoryBean#0,org.springframework.validation.beanvalidation.LocalValidatorFactoryBean#0,org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter#0,org.springframework.web.servlet.handler.MappedInterceptor#0,org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver#0,org.springframework.web.servlet.mvc.annotation.ResponseStatusExceptionResolver#0,org.springframework.web.servlet.mvc.support.DefaultHandlerExceptionResolver#0,org.springframework.web.servlet.handler.BeanNameUrlHandlerMapping,org.springframework.web.servlet.mvc.HttpRequestHandlerAdapter,org.springframework.web.servlet.mvc.SimpleControllerHandlerAdapter,org.springframework.web.servlet.view.InternalResourceViewResolver#0,org.springframework.web.servlet.resource.DefaultServletHttpRequestHandler#0,org.springframework.web.servlet.handler.SimpleUrlHandlerMapping#0,org.springframework.web.servlet.config.viewControllerHandlerMapping,org.springframework.web.servlet.handler.MappedInterceptor#1,org.springframework.web.servlet.handler.SimpleMappingExceptionResolver#0,org.springframework.context.annotation.ConfigurationClassPostProcessor.importAwareProcessor]; parent: org.springframework.beans.factory.support.DefaultListableBeanFactory@1b84bea
17:11:11.765 [main] WARN  o.s.modules.utils.Reflections - MenuService$$EnhancerByCGLIB$$3406586c's superclass not ParameterizedType
17:11:12.109 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/frmCode/index],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.String com.epublic.controller.FrmCodeController.index()
17:11:12.109 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/frmCode/saveOrUpdate],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.toolkit.extjs.ExtMessage com.epublic.controller.FrmCodeController.saveOrUpdate(com.epublic.entity.FrmCode)
17:11:12.109 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/frmCode/page],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.toolkit.core.MapBean com.epublic.controller.FrmCodeController.page(java.lang.Long,java.lang.Integer,java.lang.Integer)
17:11:12.109 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/frmCode/deletes],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.toolkit.extjs.ExtMessage com.epublic.controller.FrmCodeController.deletes(java.lang.Long[])
17:11:12.109 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/frmCode/saveEditGrid],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.toolkit.extjs.ExtMessage com.epublic.controller.FrmCodeController.saveEditGrid(java.lang.String)
